#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:107 out:108 type:b dur:2 cpbdur:2 q:29.95 aq:25.87 tex:1656 mv:3163 misc:2085 imb:6 pmb:495 smb:3099 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:30.61 aq:24.43 tex:107260 mv:23429 misc:1327 imb:615 pmb:2739 smb:246 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:30.42 aq:26.02 tex:11907 mv:10717 misc:3304 imb:163 pmb:1213 smb:2224 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:30.33 aq:26.22 tex:6757 mv:6230 misc:2613 imb:94 pmb:757 smb:2749 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:30.52 aq:25.91 tex:7052 mv:5566 misc:2582 imb:102 pmb:729 smb:2769 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:30.72 aq:24.76 tex:87842 mv:21002 misc:1788 imb:574 pmb:2661 smb:365 d:s ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:30.66 aq:26.44 tex:10921 mv:8323 misc:3084 imb:133 pmb:1011 smb:2456 d:t ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:30.64 aq:27.13 tex:1481 mv:2684 misc:1859 imb:4 pmb:410 smb:3186 d:s ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:30.69 aq:26.59 tex:6577 mv:4831 misc:2344 imb:90 pmb:612 smb:2898 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:30.76 aq:24.95 tex:84831 mv:20831 misc:1954 imb:538 pmb:2641 smb:421 d:s ref:0 ;
